t_air_is,windspeed_is,tp_is,ghi_is,e_is,ghi_r,t_air_r,e_r,tp_r,windspeed_r
27.5,2.01168,0,951.5,0.508,583.1844,20.536774,-0.4322652,0.20270702,1.4558644
26.66666667,1.56464,0,596,0.508,798.75793,22.547974,-0.5461412,0.21498232,1.959863
25,2.2352,0,389,0.508,643.3789,22.103882,-0.43464923,0.44207788,2.1952224
24.16666667,2.01168,0,317.5,0.254,671.89526,22.320923,-0.5007798,1.596455,2.1393757
21.94444444,1.56464,0,55.5,0,598.8287,20.274323,-0.4445506,2.089573,1.9901323
21.11111111,2.01168,0.762,113.5,0,423.26495,20.135712,-0.33260757,2.3006783,1.7325989
23.05555556,0.67056,0,288,0.254,225.044,19.701416,-0.1786859,0.6236257,0.9935221
20.83333333,0.44704,0,23.5,0,132.99146,18.971405,-0.08557903,0.19931467,0.99682015
20.27777778,0.89408,0.508,1,0,28.441458,18.296387,-0.013907149,0.2750675,1.0628566
19.44444444,1.34112,7.62,0,0,0,17.520538,0.007581519,0.06961496,0.25371337
20,1.34112,0,0,0,0,16.894379,0.009922631,0.02713548,0.27594447
19.72222222,0.89408,0,0,0,0,17.112305,0.005433743,0.03860332,0.7474824
19.72222222,0.44704,0,0,0,0,16.792725,0.003081892,0.024874229,0.4554847
19.72222222,0,0,0,0,0,16.9198,0.010341435,0.014860183,0.5216538
19.16666667,0.22352,0,0,0,0,17.207672,0.007506344,0.013891142,0.46108145
19.16666667,0.22352,0,0,0,0,17.044312,0.000622676,0.1968923,0.8238492
18.88888889,0.44704,0,0,0,0,16.982605,-0.007044961,0.05524,0.5615995
19.16666667,0.89408,0,0,0,0,16.647583,-0.004800502,0.022451393,0.34969306
18.88888889,1.34112,0,0,0,0,16.010132,-0.00259903,0.011468306,0.8449473
18.61111111,1.1176,0,3,0,0,16.031433,0.001148874,0.012921635,0.70195913
20.83333333,0.22352,0,117,0,15.0598955,16.288666,-0.004650152,0.006137881,0.25406587
21.66666667,0.22352,0,168.5,0,109.56996,16.39621,-0.08747983,0.040541403,0.06985119
22.22222222,0.44704,0,285,0,227.33672,16.931335,-0.18319628,0.16733399,0.85312337
23.33333333,0.89408,0,420,0.254,427.206,18.297699,-0.32946104,0.12582354,1.5264401
23.33333333,1.1176,0,409.5,0.254,457.6704,19.02594,-0.3741781,1.1739209,1.943449
24.16666667,1.1176,0,401,0.254,624.33307,19.884552,-0.49748296,0.44870052,2.0156586
23.33333333,1.78816,0,268,0.254,614.1883,20.535034,-0.44863138,1.4515724,2.2367725
23.88888889,0.89408,0,447,0.254,568.634,20.821167,-0.457781,1.9711794,1.6803411
24.44444444,1.34112,0,491.5,0.254,348.9546,20.264557,-0.2952467,0.85976624,1.3972912
24.16666667,0.67056,0,294.5,0.254,328.8298,19.568024,-0.31918383,0.3299839,1.325952
23.05555556,0.44704,0,168.5,0,186.56267,18.308777,-0.1974791,0.85831296,0.998688
21.38888889,0.67056,0,104,0,35.229618,16.899597,-0.062554695,0.50361687,0.70018774
20.83333333,0,0.762,4.5,0,15.839097,16.847473,-0.017590618,0.1368071,0.49395472
20,0.44704,0.508,0,0,0,17.312195,0.000440108,0.14875922,0.5267043
19.72222222,0.44704,0,0,0,0,17.011047,4.28E-05,0.021967106,0.74164504
19.44444444,0.89408,0,0,0,0,16.898743,0.001095177,0.002423301,0.64721864
19.44444444,0.89408,0.254,0,0,0,16.428162,0.002512737,4.66E-07,0.83763856
19.16666667,0.22352,0,0,0,0,15.031586,0.00199725,4.66E-07,0.76425135
18.88888889,0,0,0,0,0,15.581055,0.002373126,4.66E-07,0.6388878
18.33333333,0.67056,0,0,0,0,15.581696,-0.002899702,0.014860183,0.7288906
19.16666667,2.01168,0,0,0,0,15.891296,0.001127395,0.002423301,0.69748867
18.88888889,0.22352,0,0,0,0,16.13919,0.00025754,0.044902787,0.47508556
18.88888889,0,0,0,0,0,15.938446,-0.000161264,0.056209043,1.2170013
18.33333333,0.22352,0,2,0,0,15.796997,0.00056898,0.061054714,1.1809697
18.88888889,0.44704,0,51,0,22.882013,15.923889,-0.005906622,0.08479785,0.6142851
20.27777778,0,0,116,0,124.27021,15.866516,-0.07869536,0.083505645,0.27813673
23.33333333,0.67056,0,467.5,0,282.97583,17.507507,-0.19708176,0.03763428,0.5025257
25,0.89408,0,581.5,0.254,404.74353,18.48584,-0.27406943,0.9235665,1.0524889
26.94444444,1.56464,0,879.5,0.508,664.76245,19.998413,-0.46475056,0.21126726,1.3816907
27.77777778,2.01168,0,523.5,0.508,620.5119,20.707123,-0.4997059,2.26789,1.6465783
25.55555556,3.57632,0,843,0.508,745.7561,22.69461,-0.57957166,0.34145173,1.9324367
21.38888889,2.68224,0,103,0.254,556.45123,21.736938,-0.4188737,2.8614726,2.1654935
21.38888889,1.56464,0,123.5,0,464.069,19.813507,-0.40867168,4.803255,1.677047
21.94444444,2.01168,0,253,0,291.53223,20.077484,-0.27534738,4.7927566,1.2167723
19.72222222,2.68224,1.016,64,0.254,176.7775,18.353943,-0.17514205,1.5420232,1.5670023
17.77777778,4.69392,39.116,3,0,84.17049,17.847504,-0.09353661,0.86590415,1.0113796
18.05555556,0.89408,2.794,0,0,14.955,17.43341,-0.03374202,0.1353533,0.7095037
17.77777778,2.01168,3.556,0,0,0,17.5766,-0.004574977,0.009045471,0.39407465
18.05555556,2.01168,1.524,0,0,0,17.133606,-0.008365838,0.026651192,0.48920032
17.5,0.67056,0,0,0,0,16.943481,-0.003211142,0.04151091,0.5555129
17.5,1.1176,0,0,0,0,16.826385,0.000504544,0.043933745,0.68161154
17.77777778,0.22352,0,0,0,0,16.671051,0.001181092,0.051040202,0.57679284
18.05555556,0.67056,0,0,0,0,16.62976,0.002147601,0.020513311,0.69771224
17.77777778,0.22352,0,0,0,0,16.634338,0.000869681,4.66E-07,0.6081142
17.77777778,0,0,0,0,0,16.462036,0.000386412,0.000969507,0.89519644
17.77777778,0.44704,0,0,0,0,15.916077,-0.002620509,0.008560717,0.43735573
17.77777778,0.22352,0,0,0,0,14.961639,-0.005230075,0.01437543,0.276935
17.5,0.44704,0,1.5,0,0,14.686371,-0.003297057,0.011468306,0.4766514
19.44444444,0.22352,0,93.5,0,14.490452,15.06723,-0.014272286,0.016152393,0.5654766
21.38888889,0.44704,0,204.5,0,92.96663,15.948883,-0.067526825,0.041995198,0.6768666
23.05555556,0.67056,0,448,0.254,203.42073,18.815857,-0.14397755,0.1035342,1.5404423
23.61111111,0.67056,0,391,0.254,286.24255,18.621613,-0.19372046,0.93406534,1.9436362
23.61111111,1.34112,0,444,0.254,324.75388,17.934845,-0.24405402,0.47357428,1.8947419
23.88888889,1.34112,0,454,0.254,327.66098,19.486755,-0.28230622,0.24890108,1.6804049
22.22222222,2.90576,0,326.5,0.254,429.07913,20.484863,-0.3677025,0.30607915,2.0742602
22.5,2.01168,0,311,0.254,414.93332,20.856812,-0.39391634,1.4672399,1.7038232
22.22222222,1.56464,0,264,0.254,403.36493,21.00888,-0.39007178,1.5554293,1.6195599
22.77777778,1.56464,0,268.5,0.254,356.56696,20.555237,-0.32235184,1.2073554,1.4551296
20.27777778,2.68224,0.508,98,0.254,235.63837,17.668274,-0.23248816,0.67418116,1.2060318
18.88888889,0.89408,6.35,11.5,0,79.49517,17.137299,-0.089788705,0.21175203,1.2944838
18.88888889,1.34112,0,1,0,18.701216,16.483765,-0.02580593,0.057662837,0.44797677
18.88888889,1.56464,0,0,0,0,16.714935,0.000193104,0.032950193,0.31822392
